method,sequence,frames,mean_iou,success_auc,precision_20,mean_cle,invalid_pred_count,invalid_gt_count,valid_eval_frames
fixed_tele,wakeboard5,559,0.5415740623814645,0.5424998671602402,0.667262969588551,146.45319889349395,0,0,559
fixed_tele,wakeboard6,389,0.19877607461819713,0.205502812492046,0.23393316195372751,234.65697844795426,0,0,389
fixed_tele,wakeboard7,67,0.8365243140510323,0.8328653760898481,1.0,1.997601540512812,0,0,67
fixed_tele,wakeboard8,515,0.4099916354981401,0.41318850331635115,0.5320388349514563,225.97292703429653,0,0,515
fixed_tele,wakeboard9,119,0.008403361344537815,0.018221149846077016,0.008403361344537815,178.69998139972046,0,0,119
fixed_wide,bike1,1029,0.2000119225552352,0.2062658160859816,0.2662779397473275,400.88552297442203,0,0,1029
fixed_wide,bike2,185,0.0217001617001617,0.03136205512443125,0.06486486486486487,59555.24651777563,0,11,174
fixed_wide,bike3,145,0.02912154782337338,0.03857972004096958,0.0896551724137931,157.5635988296872,0,0,145
fixed_wide,boat1,301,0.9132483363832048,0.9092135127133975,1.0,3.2249688589937517,0,0,301
fixed_wide,boat2,267,0.9278628397182641,0.9234249267623393,1.0,2.3239241986506096,0,0,267
fixed_wide,boat3,301,0.8872127768612599,0.8834906746488601,1.0,5.4819289392745025,0,0,301
fixed_wide,boat4,185,0.781378228844762,0.7785924538399793,0.972972972972973,8.490511824998773,0,0,185
fixed_wide,boat5,169,0.9144121102789238,0.9105395746675258,1.0,2.876491717153056,0,0,169
fixed_wide,boat6,269,0.722372072851988,0.7198277448562703,1.0,1.716804386445594,0,0,269
fixed_wide,boat7,179,0.8570836706555056,0.8534764090934233,1.0,5.061675157248223,0,0,179
fixed_wide,boat8,229,0.2799063938989846,0.28453456699381735,0.7117903930131004,16.678914258967687,0,0,229
fixed_wide,boat9,467,0.47462147680513384,0.4765620030953842,0.6552462526766595,147.01871492909632,0,0,467
fixed_wide,building1,157,0.02337726772075991,0.03285615185722405,0.03184713375796178,224.73256923288076,0,0,157
fixed_wide,building2,193,0.1734030668856632,0.18006463858821148,0.22797927461139897,250.32959201575204,0,0,193
fixed_wide,building3,277,0.008856610256084642,0.018622439861314677,0.01444043321299639,667.1407159861819,0,0,277
fixed_wide,building4,263,0.49434670713609846,0.4945224560478862,0.6768060836501901,19.11997412543887,0,0,263
fixed_wide,building5,161,0.04780232119468841,0.056392595781317334,0.09316770186335403,223.35900260759416,0,0,161
fixed_wide,car10,469,0.8325050121215701,0.8292343093584413,1.0,2.0251963409058127,0,0,469
fixed_wide,car11,113,0.033275553812698214,0.04249539998247611,0.07079646017699115,97504.93478405819,0,11,102
fixed_wide,car12,167,0.008976917958953888,0.018734807612497767,0.017964071856287425,173948.98096769268,0,29,138
fixed_wide,car13,139,0.007194244604316547,0.01702400455872921,0.014388489208633094,376.53933408842164,0,0,139
fixed_wide,car14,443,0.10514939167539292,0.11326911472185594,0.13769751693002258,56679.87150911561,0,25,418
fixed_wide,car15,157,0.02678748389595681,0.03619852431102992,0.08917197452229299,218.9799461041506,0,0,157
fixed_wide,car17,353,0.005198940588019156,0.014837461083218753,0.0764872521246459,170.22151996659528,0,0,353
fixed_wide,car18,403,0.9137262594672346,0.9095152691447802,1.0,2.1879031118288013,0,0,403
fixed_wide,car1_s,492,0.0024407058792930317,0.012315865732914714,0.0020325203252032522,427.6408432000996,0,0,492
fixed_wide,car2,441,0.007381806131641135,0.01713028445701713,0.011337868480725623,7037.041496326331,0,3,438
fixed_wide,car2_s,107,0.18381645039518005,0.19061719256037768,0.205607476635514,592.9748391822537,0,0,107
fixed_wide,car3,573,0.1370826586047393,0.14436783992535385,0.22164048865619546,296.1343310131483,0,0,573
fixed_wide,car3_s,434,0.18067670294130544,0.1877081717388326,0.20046082949308755,566.6128090752849,0,0,434
fixed_wide,car4,449,0.08866895339721387,0.09680478070078702,0.18040089086859687,194.2757445432977,0,0,449
fixed_wide,car4_s,277,0.120428431967082,0.128283947528327,0.13357400722021662,374.1195201556302,0,0,277
fixed_wide,car5,249,0.9458933709088445,0.9416278977295324,1.0,2.233638990672405,0,0,249
fixed_wide,car7,345,0.021575111943881314,0.030994403788204908,0.028985507246376812,67005.34552533792,0,23,322
fixed_wide,car9,627,0.7761644186361522,0.7735247208931415,0.9840510366826156,2.843323995132224,0,0,627
fixed_wide,person1,267,0.842852641325293,0.8394333815404016,1.0,3.119228559115258,0,0,267
fixed_wide,person10,341,0.17491509554477766,0.18199239278766588,0.19941348973607037,158777.4306493004,0,54,287
fixed_wide,person11,241,0.7928531800288533,0.7900250605973457,0.9336099585062241,5.719401940268568,0,0,241
fixed_wide,person13,295,0.005016965462742813,0.01483470380936393,0.006779661016949152,300.5802142812368,0,0,295
fixed_wide,person15,447,0.8335895460448592,0.8302434270272661,1.0,1.9077972022858851,0,0,447
fixed_wide,person16,383,0.10512927655797681,0.11333143758240044,0.13315926892950392,91776.85438139233,0,35,348
